Komoditas,TGl,Harga
Bawang Merah,01/01/21,34535.5
Bawang Merah,02/01/21,34535.5
Bawang Merah,03/01/21,34535.5
Bawang Merah,04/01/21,32970.0
Bawang Merah,05/01/21,33151.0
Bawang Merah,06/01/21,32968.0
Bawang Merah,07/01/21,32749.0
Bawang Merah,08/01/21,32841.0
Bawang Merah,09/01/21,34535.5
Bawang Merah,10/01/21,34535.5
Bawang Merah,11/01/21,32490.0
Bawang Merah,12/01/21,32356.0
Bawang Merah,13/01/21,32400.0
Bawang Merah,14/01/21,32397.0
Bawang Merah,15/01/21,32251.0
Bawang Merah,16/01/21,34535.5
Bawang Merah,17/01/21,34535.5
Bawang Merah,18/01/21,31777.0
Bawang Merah,19/01/21,31737.0
Bawang Merah,20/01/21,31657.0
Bawang Merah,21/01/21,31677.0
Bawang Merah,22/01/21,31527.0
Bawang Merah,23/01/21,34535.5
Bawang Merah,24/01/21,34535.5
Bawang Merah,25/01/21,31354.0
Bawang Merah,26/01/21,30985.0
Bawang Merah,27/01/21,30731.0
Bawang Merah,28/01/21,30546.0
Bawang Merah,29/01/21,30652.0
Bawang Merah,30/01/21,34535.5
Bawang Merah,31/01/21,34535.5
Bawang Merah,01/02/21,30156.0
Bawang Merah,02/02/21,30167.0
Bawang Merah,03/02/21,30465.0
Bawang Merah,04/02/21,30305.0
Bawang Merah,05/02/21,30184.0
Bawang Merah,06/02/21,34535.5
Bawang Merah,07/02/21,34535.5
Bawang Merah,08/02/21,30465.0
Bawang Merah,09/02/21,30157.0
Bawang Merah,10/02/21,30253.0
Bawang Merah,11/02/21,30457.0
Bawang Merah,12/02/21,34535.5
Bawang Merah,13/02/21,34535.5
Bawang Merah,14/02/21,34535.5
Bawang Merah,15/02/21,31822.0
Bawang Merah,16/02/21,32118.0
Bawang Merah,17/02/21,32593.0
Bawang Merah,18/02/21,32594.0
Bawang Merah,19/02/21,32800.0
Bawang Merah,20/02/21,34535.5
Bawang Merah,21/02/21,34535.5
Bawang Merah,22/02/21,32599.0
Bawang Merah,23/02/21,32922.0
Bawang Merah,24/02/21,33120.0
Bawang Merah,25/02/21,33104.0
Bawang Merah,26/02/21,33321.0
Bawang Merah,27/02/21,34535.5
Bawang Merah,28/02/21,34535.5
Bawang Merah,01/03/21,33089.0
Bawang Merah,02/03/21,33946.0
Bawang Merah,03/03/21,33937.0
Bawang Merah,04/03/21,33754.0
Bawang Merah,05/03/21,34093.0
Bawang Merah,06/03/21,34535.5
Bawang Merah,07/03/21,34535.5
Bawang Merah,08/03/21,34563.0
Bawang Merah,09/03/21,34780.0
Bawang Merah,10/03/21,33920.0
Bawang Merah,11/03/21,34535.5
Bawang Merah,12/03/21,34447.0
Bawang Merah,13/03/21,34535.5
Bawang Merah,14/03/21,34535.5
Bawang Merah,15/03/21,34536.0
Bawang Merah,16/03/21,34627.0
Bawang Merah,17/03/21,34466.0
Bawang Merah,18/03/21,34432.0
Bawang Merah,19/03/21,34278.0
Bawang Merah,20/03/21,34535.5
Bawang Merah,21/03/21,34535.5
Bawang Merah,22/03/21,34177.0
Bawang Merah,23/03/21,33841.0
Bawang Merah,24/03/21,33812.0
Bawang Merah,25/03/21,33624.0
Bawang Merah,26/03/21,33654.0
Bawang Merah,27/03/21,34535.5
Bawang Merah,28/03/21,34535.5
Bawang Merah,29/03/21,33615.0
